comment
"0:02 / 2:48
Bodycam video shows moments leading up to fatal shooting
CNN
17.2M subscribers
Subscribe
5.9K
Share
    
    
    
   
    
    
    
   702K views  4 years ago  #CNN #News
Bodycam video released by the Atlanta Police Department show the moments leading up to the fatal shooting of Rayshard Brooks.
 …
...more
Armed Man Fatally Shot by Pasadena Police During Fight With K9 After Pursuit
PoliceActivity
4M views 5 months ago"
""
""
""
""
""
